	RDX	HNS	TATB	DAAF	DAOAF	DATB	LLM-105	FOX-7	NQ
1,4-DNI	-2.810592009	-0.385908548	-0.560597128	-1.273254174	-1.413669152	-1.329257604	-0.144739188	-13.12210619	-5.371024499
1-BN	-3.110472414	-5.464987475	-3.671415596	-1.178250769	-1.477476847	-5.009274234	-2.832368169	-3.632943794	-1.804544483
2,4-DNI	-1.336469541	-0.248581461	-0.1859927	-2.579681155	-2.860696802	-1.247946083	-1.678050497	-15.7929658	-6.689853664
2,4-MDNI	-3.482975339	-1.137950836	-0.071714446	-1.184233062	-1.087515082	-1.087759522	-0.479387817	-11.86243363	-4.38385389
3,4-DNP	-1.253183419	-1.305008725	-0.092611814	-2.517154809	-2.391148431	-0.139604378	-2.745504099	-12.63511446	-6.072202756
3,4-MDNP	-6.205115557	-5.474600947	-0.82706269	-1.792391329	-1.237752939	-2.799908673	-2.326146692	-7.141153799	-2.614617764
3,5-DNP	-1.607903883	-0.695966201	-0.220342929	-3.147041793	-3.10552027	-0.479866747	-3.327474355	-15.21917358	-6.878879526
3-AT	-1.882202441	-2.846727203	-1.855531347	-1.583251249	-1.591567568	-2.204610867	-2.919016852	-5.500952163	-3.815525905
4,5-MDNI	-5.815030576	-5.082612569	-1.022432025	-1.288421459	-0.960278673	-2.221987567	-2.20052077	-6.244579371	-2.206216122
4,5-MDNP	-2.888139339	-2.205548451	-0.085404013	-0.741693221	-0.335342842	-0.502160821	-0.744404292	-9.463765528	-3.501075642
4-AT	-0.256792926	-0.045085341	-0.467041294	0.009881435	-0.363939292	-0.483553211	-0.071243097	-5.294799141	-3.855362982
9-BN	-4.887415259	-8.485049734	-7.495652131	-1.49877469	-3.363510892	-9.091447295	-4.338136087	-3.643240106	-1.897284886
A12	-6.18827975	-7.387083111	-3.174718431	-4.122133436	-3.632885166	-5.553501385	-4.5772438	-4.23411931	-2.93744016
A3	-7.389110248	-6.781533518	-2.101514959	-4.852896061	-4.043121611	-4.620655799	-4.575275371	-5.937829257	-2.518064641
A4	-8.889037782	-8.095532406	-2.842363042	-5.985684657	-5.2947055	-5.819124552	-5.928179212	-5.690631373	-3.242757252
A5	-7.698699837	-6.19075289	-3.105427099	-3.850278189	-4.17398629	-5.199053681	-4.5270767	-3.225925082	-1.739998107
A7	-7.834411961	-6.871480119	-2.174013635	-5.243723941	-4.500636932	-4.782234717	-4.982111639	-6.022131206	-2.945566507
A8	-9.849988192	-5.942379899	-1.562441487	-4.39442206	-3.465607063	-4.12591996	-4.439394529	-0.13413775	-0.081759372
AA_1	-3.062742241	-4.779907193	-3.093666282	-0.724167415	-1.403710541	-4.026042297	-2.536426275	-7.967392764	-4.696590446
ADNP	-2.132823453	-2.610575086	-0.103000096	-2.255608792	-1.965469247	-0.727974311	-2.431191418	-12.38407223	-5.161832458
alpha-ABA_1	-9.086388917	-10.39835241	-9.436602093	-5.131681317	-6.62895952	-10.29831255	-8.259817786	-12.33663305	-8.163912615
ANAT	-6.351119463	-5.80122209	-3.461112688	-4.734466942	-4.298186979	-4.766520553	-5.606699503	-1.647184811	-1.144834019
Ant	-4.266168563	-8.932386006	-6.644184873	-2.190812468	-2.472857957	-8.636409124	-3.971778522	-2.554616956	-1.645279921
AT	-0.224451541	-0.406623521	-0.056222859	-0.01960962	-0.090527055	-0.062204994	-0.107568648	-3.981330326	-2.173439504
ATNO2	-2.829902033	-1.910325841	-1.221902621	-2.587374322	-2.987526602	-1.99744815	-3.172757343	-6.258912513	-5.320059443
ATZ	-0.256787275	-0.045082857	-0.467028225	0.00988168	-0.363931886	-0.48354176	-0.071236711	-5.294780822	-3.855341952
AZ1	-1.197365196	-2.610402017	-3.608939587	-3.022187256	-3.582464009	-2.663637714	-3.719987483	-17.43772233	-6.970562794
AZ2	-1.108788768	-2.869762317	-2.654542062	-1.404081532	-1.770389044	-2.496979253	-2.512263392	-14.40021185	-6.014317515
Benzene-1,2-diamine	-2.105667061	-2.045873002	-0.057913843	-0.089183571	-3.52116E-06	-0.070195572	-0.437921713	-5.605737611	-1.860706206
BL	-5.607277507	-4.372235712	-1.704793244	-4.974857003	-4.410588843	-3.435513628	-4.280721171	-7.347762181	-5.277336919
BQ	-5.104082072	-5.284337909	-0.545644542	-1.933940429	-1.096556619	-2.31495155	-1.768742021	-6.492849682	-2.261557175
BTF	-6.100899782	-5.562308927	-6.6028001	-4.068242626	-5.496390781	-6.805960961	-5.304430892	-18.41329296	-8.054674956
BTO	-3.185959085	-1.848010684	-3.973364096	-3.089351319	-3.433575692	-4.308376047	-1.594362912	-23.40804925	-6.777030256
CE	-1.176377987	-0.589688641	-1.673903266	-0.197074274	-0.795798129	-1.208078936	-0.126331801	-15.37254523	-4.87729561
CIM	-2.474891476	-0.208948903	-0.056222859	-1.323625806	-1.360036734	-0.126546591	-0.858849508	-6.564924866	-4.362137406
